Nazwisko aktualne,Liczba
KLIMCZAK,8777
BANAŚ,8716
CYBULSKA,8710
RAK,8710
KOMOROWSKA,8700
GODLEWSKA,8673
BIENIEK,8638
ŻURAWSKA,8625
ZAWADA,8569
DROZD,8530
GRUSZKA,8528
SKRZYPCZAK,8523
CICHOCKA,8494
GROCHOWSKA,8487
PRZYBYŁA,8486
SZCZĘSNA,8482
RÓŻAŃSKA,8380
KUŚ,8351
CICHOŃ,8345
GÓRKA,8295
NIEWIADOMSKA,8286
WINIARSKA,8258
KULIK,8241
PANEK,8208
KRAWIEC,8186
KRZYŻANOWSKA,8174
MIELCZAREK,8159
PTAK,8126
SIWEK,8103
KONOPKA,8087
LEŚNIEWSKA,8078
FILIPIAK,8046
STRZELECKA,8025
MIKOŁAJCZAK,8003
ZAREMBA,7994
GRACZYK,7982
ZARZYCKA,7982
SŁOWIK,7968
GIL,7960
TOKARSKA,7953
SZCZEPANIK,7916
ANTCZAK,7900
MAĆKOWIAK,7878
SZYMCZYK,7833
STAŃCZYK,7801
BARTKOWIAK,7794
KŁOS,7775
KACZYŃSKA,7752
BUCZEK,7736
GÓRNA,7721
MŁYNARCZYK,7705
CIEŚLA,7700
GRZYB,7676
JANIAK,7655
BIERNAT,7635
SKOWRON,7631
SZCZYGIEŁ,7577
JANUS,7574
BANASIAK,7568
KOSTRZEWA,7554
SZOSTAK,7553
BOGUSZ,7527
RAKOWSKA,7525
GĄSIOR,7509
BARTCZAK,7502
JUREK,7492
SIENKIEWICZ,7484
DŁUGOSZ,7477
KALETA,7471
KRÓLIKOWSKA,7463
WĘGRZYN,7444
KUCHARCZYK,7437
RÓŻYCKA,7416
KSIĄŻEK,7415
GAWRON,7410
KUBIK,7404
FRĄCZEK,7356
GAWLIK,7305
BAGIŃSKA,7273
DOBOSZ,7256
KULA,7249
ŻEBROWSKA,7234
PAŁKA,7220
ROGALSKA,7217
WITCZAK,7182
TRZCIŃSKA,7164
HAJDUK,7143
TROJANOWSKA,7128
FRANKOWSKA,7114
MALISZEWSKA,7114
ZARĘBA,7114
GAWROŃSKA,7105
GRZEGORCZYK,7074
MALEC,7064
RZEPKA,7038
RYBICKA,7036
ROGALA,7035
MIKULSKA,7027
ROJEK,7021
DUDZIŃSKA,7007
TKACZYK,6994
RADOMSKA,6980
KACZOROWSKA,6941
KISIEL,6842
FIJAŁKOWSKA,6839
FRĄCKOWIAK,6825
NAWROT,6782
BOGUCKA,6781
MIKA,6763
WIĘCKOWSKA,6757
GRZESIAK,6730
LACH,6709
CZYŻEWSKA,6700
GAŁĄZKA,6696
BOREK,6694
KWAŚNIEWSKA,6668
WĄSIK,6667
WOJTCZAK,6653
ZABOROWSKA,6644
BIAŁAS,6631
STEC,6611
ROSIAK,6586
WÓJCICKA,6550
ŚLUSARCZYK,6549
SOKÓŁ,6535
LIPSKA,6528
BURZYŃSKA,6526
KMIECIK,6503
PIETRAS,6483
KOŁODZIEJSKA,6463
BOCHENEK,6461
WNUK,6459
JUSZCZAK,6450
DĄBEK,6447
ŁUKASIEWICZ,6426
PAWELEC,6404
KARWOWSKA,6397
ZAJĄCZKOWSKA,6394
KUBACKA,6393
LASOTA,6389
SZAFRAŃSKA,6387
WALKOWIAK,6378
DRZEWIECKA,6371
JANAS,6360
SKRZYPEK,6337
GRUSZCZYŃSKA,6329
WROŃSKA,6319
MROCZEK,6299
KRYSIAK,6285
JĘDRZEJCZAK,6284
MASŁOWSKA,6260
FLIS,6257
JAGODZIŃSKA,6252
DĘBOWSKA,6246
ZYGMUNT,6230
JĘDRZEJCZYK,6224
CEBULA,6216
BIELAWSKA,6207
LISIECKA,6198
CYGAN,6189
PIWOWARCZYK,6179
ŁAPIŃSKA,6172
BOROWIEC,6171
PASTERNAK,6171
KAŁUŻA,6163
SKIBIŃSKA,6140
JAGIEŁŁO,6135
FILIPEK,6134
PIÓRKOWSKA,6129
KARAŚ,6127
MISIAK,6124
ŻMUDA,6121
JURKIEWICZ,6120
KRAKOWIAK,6120
WILCZEK,6103
CZAPLA,6090
FALKOWSKA,6090
KUBICA,6079
TWARDOWSKA,6056
SOBIERAJ,6046
URBAŃCZYK,6035
BUJAK,6031
PILARSKA,6017
GAWEŁ,5995
STELMACH,5976
NOWACZYK,5975
RACZYŃSKA,5973
ZIELONKA,5967
CISZEWSKA,5960
DROZDOWSKA,5960
GUTOWSKA,5955
STRZELCZYK,5952
ŁUKASZEWSKA,5950
BARTOSIK,5900
WASIAK,5890
TARNOWSKA,5873
ANDRZEJCZAK,5869
SOŁTYS,5869
SZCZEŚNIAK,5868
BILSKA,5844
JAKUBIAK,5843
SKOCZYLAS,5832
PAKUŁA,5818
GĄSIOROWSKA,5786
GÓRNIAK,5766
DUBIEL,5759
MIERZEJEWSKA,5756
KĘDZIORA,5753
DZIUBA,5749
SZWED,5706
BOBER,5703
GUZIK,5703
KOPCZYŃSKA,5693
MILCZAREK,5681
STANEK,5678
MAJCHER,5677
STASZEWSKA,5667
KRUPIŃSKA,5660
CHOLEWA,5596
STOLARCZYK,5594
KACZMARSKA,5574
JAŚKIEWICZ,5567
KAŁUŻNA,5565
SŁOWIŃSKA,5563
MATUSZAK,5544
WIĘCEK,5539
JEZIERSKA,5537
ZWOLIŃSKA,5537
SŁAWIŃSKA,5524
GÓRAL,5514
SIEDLECKA,5511
GOŁĄB,5502
RUSIN,5502
FLOREK,5496
JACKOWSKA,5479
ZAGÓRSKA,5475
RUCIŃSKA,5474
MISZTAL,5473
OLCZAK,5473
KASZUBA,5464
MOTYKA,5429
DOMINIAK,5427
GRZYWACZ,5419
PAWLIKOWSKA,5418
FLORCZAK,5403
MODZELEWSKA,5389
PACZKOWSKA,5389
WOLAK,5388
MALICKA,5379
SIERADZKA,5369
KUCHTA,5365
PYTEL,5361
SOCHACKA,5357
BOŻEK,5354
ŚWIERCZYŃSKA,5352
IWAŃSKA,5344
KULIG,5322
JANKOWIAK,5312
KUC,5311
MICHAŁEK,5311
BIEŃKOWSKA,5295
DUDZIAK,5293
CZECHOWSKA,5283
STĘPNIAK,5283
KOZA,5281
WOJTAS,5278
PARTYKA,5272
KNAPIK,5267
JANUSZ,5266
PROKOP,5258
ADAMUS,5254
GWÓŹDŹ,5254
GAŁKA,5252
NOGA,5247
SITEK,5246
STACHURA,5242
KĘPA,5241
FILIPOWICZ,5239
KWIECIŃSKA,5228
SKÓRA,5219
DUDZIK,5215
JURKOWSKA,5214
SKALSKA,5213
DEC,5205
SZYSZKA,5190
PŁONKA,5186
BIELAK,5181
DOBRZYŃSKA,5178
ADAMCZAK,5171
ADAMEK,5162
KOLASA,5151
MAŃKOWSKA,5144
PASZKOWSKA,5144
KAPUSTA,5141
BRODA,5139
STANISŁAWSKA,5135
ROSA,5130
WŁODARSKA,5117
MROCZKOWSKA,5115
SZATKOWSKA,5090
SUSKA,5084
KRUSZEWSKA,5076
SZCZERBA,5076
KOWALCZUK,5069
MAJKA,5066
CHOJNOWSKA,5064
TOMALA,5062
WOŚ,5026
NIEMCZYK,5025
MOLENDA,5019
PUCHALSKA,5016
LIPKA,5014
MICHALCZYK,5001
TRZECIAK,4991
SKOWRONEK,4987
AUGUSTYN,4976
WYSZYŃSKA,4967
KOTOWSKA,4955
JANUSZEWSKA,4949
ADAMOWICZ,4945
GŁOGOWSKA,4944
CHMURA,4939
LENART,4939
BUCZYŃSKA,4938
NIEDZIELSKA,4925
ZDUNEK,4911
PIECHOTA,4894
SALAMON,4893
ŻUK,4887
KITA,4884
ADAMIAK,4868
ZIĘTEK,4862
KANIEWSKA,4860
MROZEK,4857
MAŚLANKA,4856
KOBUS,4855
DRABIK,4851
STOLARSKA,4836
BANASIK,4817
KOPER,4817
WYPYCH,4810
WARCHOŁ,4808
BĄKOWSKA,4799
BUDZYŃSKA,4794
PRZYBYŁ,4788
KOŁAKOWSKA,4785
JAGIELSKA,4780
KOGUT,4766
DRÓŻDŻ,4765
SOŁTYSIAK,4762
NIEDŹWIECKA,4754
PILCH,4751
KAWA,4740
GORCZYCA,4739
TOKARZ,4736
BUCZKOWSKA,4731
MALIK,4722
GRZESIK,4717
ROBAK,4717
RUDZIŃSKA,4705
MIŚKIEWICZ,4702
PORĘBSKA,4688
CHUDZIK,4685
KIEŁBASA,4683
MARCHEWKA,4682
KŁOSOWSKA,4679
STAŃCZAK,4671
KALISZ,4670
SOJKA,4668
JARZĄBEK,4664
BIAŁKOWSKA,4661
MACIĄG,4661
KASPEREK,4659
URBANEK,4658
DĄBKOWSKA,4647
CZERNIAK,4632
JURCZAK,4629
PIŁAT,4624
CZEKAJ,4620
BALCERZAK,4619
GADOMSKA,4619
BARTNIK,4615
CICHA,4613
GŁĄB,4607
FRĄTCZAK,4600
JAROS,4599
STACHURSKA,4598
WIĄCEK,4588
GOLEC,4587
KORZENIOWSKA,4587
URBANOWICZ,4585
TRACZ,4579
KUŹMA,4575
KUCIŃSKA,4567
OLCZYK,4566
WOLIŃSKA,4565
BŁASZCZAK,4557
SURMA,4545
PIETRUSZKA,4544
OSSOWSKA,4537
PAWLICKA,4525
SZELĄG,4515
ZABŁOCKA,4503
ŻYŁA,4502
MOSKAL,4501
STACHOWICZ,4500
ALEKSANDROWICZ,4494
RUDZKA,4494
RYBARCZYK,4490
KOPACZ,4485
KOS,4474
PIOTROWICZ,4473
BIELSKA,4470
BUDZIŃSKA,4464
RYŚ,4463
GRUDZIEŃ,4456
SZYMKOWIAK,4445
PRUS,4441
KOSOWSKA,4440
RADECKA,4439
KOSTECKA,4434
ŚLĘZAK,4434
MILLER,4433
WOJTKOWIAK,4433
MAGIERA,4429
MACKIEWICZ,4422
LESIAK,4419
GRZEŚKOWIAK,4393
WOŹNICA,4392
RUDNIK,4390
WARZECHA,4390
KULIŃSKA,4381
BIELIŃSKA,4378
KAWECKA,4370
SOBAŃSKA,4370
KUJAWSKA,4368
JURCZYK,4365
HERMAN,4357
NAPIERAŁA,4352
SĘK,4349
TRELA,4347
KOZIK,4339
WOJTASIK,4339
FURMAN,4332
SOBOTA,4332
PELC,4331
TOMASIK,4319
SEKUŁA,4315
KRAKOWSKA,4308
KMIEĆ,4305
SZUBA,4300
STAWICKA,4295
GRUDZIŃSKA,4285
KRASOWSKA,4281
OLEKSY,4277
POGORZELSKA,4271
WOŁOSZYN,4271
PEŁKA,4270
WOLNA,4259
SKORUPA,4257
ROMAN,4247
ŚMIGIELSKA,4240
GUT,4238
ŚWIĄTKOWSKA,4226
MIERZWA,4224
PIWOWARSKA,4216
SZWARC,4211
BISKUP,4210
BANASZEK,4201
