Nazwisko aktualne,Liczba
SIRANT,93
SKAKUN,93
SKONKA,93
SKRZĄTEK,93
SNELLA,93
SORDOŃ,93
SOWIECKA,93
SOWKA,93
STAŁOWSKA,93
STANIOR,93
STEFANKOWSKA,93
STĘPNOWSKA,93
STRAŻ,93
STUKUS,93
SYLWESIUK,93
SYRYJCZYK,93
SZAWALA,93
SZMIŁYK,93
SZTAJNER,93
SZUFNARA,93
SZUMIŁOWSKA,93
SZYMALAK,93
ŚMIGIERA,93
ŚWIEREK,93
ŚWIĘCICHOWSKA,93
TARSALEWSKA,93
TEREPKA,93
THEIL,93
TILL,93
TŁUSTY,93
TOMASZAK,93
WANARSKA,93
WARCHOLIK,93
WARDULIŃSKA,93
WAREJKO,93
WASZELEWSKA,93
WAWRZUSIAK,93
WAWRZYNKOWSKA,93
WELMAN,93
WIERZCHOWIAK,93
WODARSKA,93
WRZECION,93
WYREMBLEWSKA,93
WYSMOLIŃSKA,93
ZABRZEWSKA,93
ZAWADZKI,93
ZEREK,93
ZGOLAK,93
ZIOMKA,93
ŻARNOWIEC,93
ŻUJEWSKA,93
ŻYNIEWICZ,93
AKERMAN,92
ANDRASIAK,92
ANIOŁCZYK,92
ARSLAN,92
BAJUS,92
BANACHIEWICZ,92
BANASZCZUK,92
BANT,92
BARBASIEWICZ,92
BARCISZEWSKA,92
BARDYSZEWSKA,92
BAUCZ,92
BENDLIN,92
BERDA,92
BEREZECKA,92
BERKIETA,92
BIELAKOWSKA,92
BIERNATEK,92
BISMOR,92
BLASZKO,92
BOGACZYŃSKA,92
BOIK,92
BRENNER,92
BRESKE,92
BRETES,92
BRUZGO,92
BRZENCZEK,92
BUKŁAHO,92
BUZANOWSKA,92
BYSTROŃSKA,92
BYSZUK,92
BZODEK,92
BZOWY,92
CEBULARZ,92
CEGIEL,92
CHABINKA,92
CHAŁKO,92
CHODOŃ,92
CHRABKOWSKA,92
CHROMA,92
CHUĆ,92
CHWALEBA,92
CHYTRY,92
CIEMNIECKA,92
CUDNOCH,92
CYPCAR,92
CZEBERKUS,92
CZECZOTKA,92
CZEMKO,92
CZYLKOWSKA,92
DALESZYŃSKA,92
DAROWNA,92
DENISIEWICZ,92
DENISZCZUK,92
DEPCIUCH,92
DOBREŃKO,92
DOWHAN,92
DRWIŁA,92
DRYGULSKA,92
DUBLINOWSKA,92
DWULAT,92
DYGANT,92
DZADZ,92
DZIADUSZEK,92
ELMANOWSKA,92
ELZANOWSKA,92
ERKIERT,92
FEDCZYSZYN,92
FIGLARSKA,92
FORTAS,92
GALBIERCZYK,92
GARCIA,92
GEJDEL,92
GENSLER,92
GEORGE,92
GNELA,92
GOJŻEWSKA,92
GOŁASZ,92
GOŁĘBCZYK,92
GORZĄCH,92
GORZELANNA,92
GOŚCIŁO,92
GOTÓWKA,92
GOWOROWSKA,92
GOŹDZIŃSKA,92
GÓRSZCZAK,92
GRADZI,92
GROMAK,92
GUDANOWSKA,92
GUSZKIEWICZ,92
HACZYŃSKA,92
HALIBOŻEK,92
HANKA,92
HERNER,92
HEROMIŃSKA,92
HOŁOMEK,92
HORANIN,92
HRUSZKA,92
HRYSHCHUK,92
ILECKA,92
JAGÓRA,92
JAROTEK,92
JEWASIŃSKA,92
JONECKO,92
JUCHIMOWICZ,92
JUCHNOWSKA,92
JURZYCA,92
KADŁUBICKA,92
KAL,92
KARDYKA,92
KARKUCIŃSKA,92
KAWAŁKIEWICZ,92
KIEK,92
KLER,92
KŁYSIŃSKA,92
KOBIENIA,92
KOCZUK,92
KOKOCHA,92
KOLANIAK,92
KOLASZYŃSKA,92
KOLOSEK,92
KOŁTAN,92
KONRADOWSKA,92
KORBEŃ,92
KOSMATY,92
KRAWĘTEK,92
KRIESE,92
KROPKA,92
KRYMER,92
KSOLL,92
KUPRAS,92
KURNAT,92
LENGIEWICZ,92
LIBUDZIC,92
LIMAN,92
LUBRYCZYŃSKA,92
LYSIK,92
ŁAŃCZAK,92
ŁEŃSKA,92
MAGNES,92
MAGOCH,92
MARAŚ,92
MARKIETON,92
MAZANA,92
MENCNAROWSKA,92
MESZKO,92
MILOWSKA,92
MOMOLA,92
MUDANT,92
MUSIIENKO,92
MYJKOWSKA,92
NAJMANOWICZ,92
NAMIECIŃSKA,92
NESTOR,92
NIEREBIŃSKA,92
NOGAŃSKA,92
NOSIŃSKA,92
NOVIK,92
NOWIKIEWICZ,92
NOWOSZ,92
NYZIO,92
OGÓRKIS,92
OKONOWSKA,92
OPOREK,92
PAHL,92
PAŃPUCH,92
PASICIEL,92
PAWLĘGA,92
PAWLUCH,92
PERFIKOWSKA,92
PESZKA,92
PIECAK,92
PIEGZIK,92
PIJACKA,92
PILUCH,92
PIUS,92
POCIEJ,92
POCIĘGIEL,92
POKRYWIECKA,92
POŁANIECKA,92
POSPYCHAŁA,92
PRASNOWSKA,92
PRASOWSKA,92
PROCHASEK,92
PRYJOMSKA,92
PRZEŚLAK,92
PRZYSTAJKO,92
PTAŚNIK,92
PUHACH,92
PUŁAPA,92
PUŻUK,92
PYCHA,92
PYSZEL,92
RADYK,92
RAKOCY,92
RATUSZYŃSKA,92
ROŻEWSKA,92
RUCIAK,92
RUSZTYN,92
RZEZAK,92
SABINA,92
SAJDERA,92
SAŁAPAT,92
SAWLEWICZ,92
SAZON,92
SEMKO,92
SERWOŃSKA,92
SEWIELSKA,92
SHEREMET,92
SIANOS,92
SIERECKA,92
SILWANOWICZ,92
SIŃCZUK,92
SIRENKO,92
SITNIEWSKA,92
SKROBIŃSKA,92
SŁOMIANNA,92
SOBANIAK,92
SOKOŁOWSKI,92
SOPOREK,92
SOŚNIK,92
SPRATEK,92
STARBA,92
STOLL,92
STRÓŻYCKA,92
SUFRYD,92
SUWADA,92
SWACZYŃSKA,92
SWORST,92
SYPNIEWICZ,92
SZACIŁO,92
SZANTER,92
SZEFFLER,92
SZUKAJ,92
SZULEJKO,92
SZUTENBACH,92
SZWEDZKA,92
SZYRSZEŃ,92
ŚLÓSAREK,92
TABACZYK,92
TANAJEWSKA,92
TELEC,92
TRAMOWSKA,92
TRĄPCZYŃSKA,92
TRZEBNIAK,92
TRZESZCZAK,92
UGARENKO,92
VŨ,92
VIOLA,92
WAŃCZURA,92
WARSIEWICZ,92
WECHMAN,92
WEDZIUK,92
WILUŚ,92
WITCZUK,92
WŁOCHYŃSKA,92
WŁOCZEK,92
WŁOSZCZAK,92
WOJCICKA,92
WOSINEK,92
WYDYMUS,92
WYLAŹ,92
ZAWIŁO,92
ZDROWOWICZ,92
ZDZIEBKOWSKA,92
ZEMBSKA,92
ZHENG,92
ZNAJEWSKA,92
ZUREK,92
ŻMUDA TRZEBIATOWSKA,92
ŻÓRAW,92
ANDRIEIEVA,91
BADURAK,91
BAILEY,91
BARBARA,91
BARK,91
BAROWSKA,91
BERDYCH,91
BEZRĄK,91
BIAŁDYGA,91
BIAŁKIEWICZ,91
BIEGAS,91
BLASZKIEWICZ,91
BOCZKO,91
BRONIK,91
BRYKCZYŃSKA,91
BRZYWCZY,91
BUNAR,91
BUNIEK,91
CEJMAN,91
CENDAL,91
CHAMIER GLISZCZYŃSKA,91
CHANIEWSKA,91
CHODASEWICZ,91
CHODYŃSKA,91
CHODZIUTKO,91
CICHÓRZ,91
CIEPIEL,91
CIEPLECHOWICZ,91
CYGNAR,91
CZARTOSZEWSKA,91
CZEKAJEWSKA,91
CZORNAK,91
DEBERNA,91
DELEGIEWICZ,91
DENICKA,91
DŁUGOWOLSKA,91
DOBRZYNIAK,91
DOKTORSKA,91
DOŁŻYŃSKA,91
DROŹDZIKOWSKA,91
DUDYŃSKA,91
DYLUŚ,91
DYMKO,91
DZIAŁOWY,91
ELLMANN,91
ENGLISZ,91
ERFURT,91
FABRYKOWSKA,91
FAGAS,91
FASICZKA,91
FETTER,91
FLASZCZYŃSKA,91
FROM,91
FROMM,91
FURDZIK,91
GAJDECZKA,91
GAJSKA,91
GALENT,91
GAMBAL,91
GĘBARA,91
GIŚ,91
GOSZCZURNA,91
GOTSZLING,91
GRYCZA,91
GRYGIELEWICZ,91
GRYSZÓWKA,91
GRYWALSKA,91
GRZESIECKA,91
GULANOWSKA,91
HAIK,91
HĄCEL,91
HENSZEL,91
HORYŃSKA,91
HRYCKOWIAN,91
HRYHORENKO,91
HUGHES,91
HUMAJ,91
JAKLIK,91
JAMSKA,91
JÓŹWIKOWSKA,91
JUSIEWICZ,91
KAJDY,91
KAŁACH,91
KANAFEK,91
KANTARSKA,91
KASPRÓW,91
KIEŁBOŃ,91
KIRKO,91
KLECHOWICZ,91
KLEPAK,91
KLIMACKA,91
KŁYSIK,91
KOLMAGA,91
KOLMASIAK,91
KONIKIEWICZ,91
KORDULASIŃSKA,91
KORLACKA,91
KOSTURKIEWICZ,91
KOWCUN,91
KOŹLAKOWSKA,91
KRAJNA,91
KRASEK,91
KRYSTASZEK,91
KRYŚCIO,91
KRZYSZTONEK,91
KRZYWORĄCZKA,91
KULMIŃSKA,91
KUZEMCZAK,91
LIM,91
LIPERTOWICZ,91
LISKIEWICZ,91
LIZINIEWICZ,91
LUBOSZ,91
ŁABOWICZ,91
ŁESYK,91
ŁOMZIK,91
ŁOPATNIUK,91
ŁUCZYN,91
ŁUPAK,91
MALACA,91
MANDELA,91
MARDOSZ,91
MASZTAKOWSKA,91
MATLEWSKA,91
MATRAJ,91
MEISTER,91
MEJGER,91
MĘDOŃ,91
MIESZCZAŃSKA,91
MIKŁOSZ,91
MIKOŁAJÓW,91
MIKORSKA,91
MITERKA,91
MLAŚ,91
MORDASZEWSKA,91
MOTEK,91
MOZLER,91
MROCZYK,91
NARECKA,91
NICZYJ,91
NOGAJEWSKA,91
OBALSKA,91
OBSTAWSKA,91
OBYRTACZ,91
OCHLAK,91
OCHTABIŃSKA,91
OCZYŃSKA,91
ODALSKA,91
OLICHWIRUK,91
OMELCHUK,91
OMELIANIUK,91
ONASZKIEWICZ,91
OPAŁACZ,91
ORLOVSKA,91
OSTRZYNIEWSKA,91
OTWIASKA,91
PETRUCZENKO,91
PIETRALCZYK,91
PLIWKA,91
PODSIADŁOWICZ,91
POKUTYCKA,91
POLANIN,91
POLASZ,91
POLIANSKA,91
POŁONOWSKA,91
POŁUJAŃSKA,91
PORWICH,91
POŚWIAT,91
PROSIANOWSKA,91
PRZEKORA,91
PRZYBYCIŃSKA,91
PULNAR,91
PUNDA,91
PYCIO,91
RATECKA,91
RENKAS,91
RĘKLEWSKA,91
RISTAU,91
ROCHECKA,91
RODZOŚ,91
RODŹ,91
ROGUŚ,91
ROZBIEWSKA,91
RUSZYŃSKA,91
RYSTWEJ,91
RYTKOWSKA,91
SAŁANOWSKA,91
SAMOLEWSKA,91
SAWOCH,91
SEIFFERT,91
SIDUN,91
SIDZ,91
SIEMIATYCKA,91
SŁAWETA,91
SMOTRYŚ,91
SOCHAŃ,91
SPIŻAK,91
STAFIJOWSKA,91
STANIURSKA,91
STAŚKOWSKA,91
STELLER,91
STOLARZEWICZ,91
STOSZ,91
STRUGLIŃSKA,91
SULMIŃSKA,91
SURGIEWICZ,91
SUTER,91
SYLWESTRZUK,91
SZANKOWSKA,91
SZEJDA,91
SZEMIS,91
SZEPIENIEC,91
SZLAFKA,91
SZOSTKOWSKA,91
SZOTKO,91
SZPOJANKOWSKA,91
SZRAMOWIAT,91
ŚWINKA,91
TARADYŚ,91
TERLETSKA,91
THOMANN,91
TOBISZEWSKA,91
TOJZA,91
TOLASZ,91
TOPIJ,91
TRUSZEWSKA,91
TUBAJA,91
TURBAKIEWICZ,91
TUREL,91
TYNDYK,91
ULAK,91
VETTER,91
WABISZCZEWICZ,91
WARELIŚ,91
WARKUSZ,91
WASTOWSKA,91
WAWRZENIEC,91
WENDLER,91
WIELGA,91
WIEWIÓRKOWSKA,91
WITECZEK,91
WLECZYK,91
WNUCZKO,91
WOJTUSZKIEWICZ,91
WOLNICA,91
WOLTMANN,91
WOOD,91
WOZIWODA,91
WSTAWSKA,91
WYDURSKA,91
WYSTUP,91
ZABOLOTNA,91
ŻYBORT,91
ADAMKOWICZ,90
ALASZKIEWICZ,90
ANDERKO,90
ANUSIK,90
BACHMANN,90
BAGSIK,90
BAJRASZEWSKA,90
BALAN,90
BAŁKOWSKA,90
BENEWIAT,90
BERDECKA,90
BIZIEWSKA,90
BŁĘDNIAK,90
BOCIANIAK,90
BOJARZYŃSKA,90
BOTKO,90
BRUCHAL,90
BULIKOWSKA,90
BUŁDYS,90
BUROŃ,90
BZYL,90
CELLMER,90
CENTNER,90
CHEŁCZYŃSKA,90
CURKOWICZ,90
CZELNA,90
CZYJT,90
DOMACIUK,90
DOMIENIK,90
DONDA,90
DONDZIŁO,90
DORNIA,90
DROŹDZIAK,90
DUCZMAN,90
DYRSZLAG,90
DYSIEWICZ,90
DYZIO,90
DZIERŻYK,90
EKIEL,90
ELMERYCH,90
FASULA,90
FAUST,90
FIBAKIEWICZ,90
FILATOVA,90
FILIPÓW,90
FORIASZ,90
FORMANOWSKA,90
FORMEJSTER,90
FOSTACZ,90
FUKSIEWICZ,90
FUL,90
GADOŚ,90
GALANTOWICZ,90
GASIEWICZ,90
GEBERT,90
GEORGIEVA,90
GĘBICA,90
GHAZARYAN,90
GINTROWICZ,90
GLABUS,90
GLINOWIECKA,90
GNAS,90
GOLASA,90
GOŁDON,90
GORZELEWSKA,90
GORZOLNIK,90
GOŹDZIELA,90
GÓRZEWSKA,90
GRĘZAK,90
GROBICKA,90
GUDER,90
HAMIELEC,90
HASEK,90
HERDZIN,90
HOMZA,90
HUKOWSKA,90
JAKUBICKA,90
JANASZEWSKA,90
JAROLEWSKA,90
JASIOCHA,90
JASZCZUŁT,90
JENIEC,90
JOWSA,90
KAFTAŃSKA,90
KALOCIŃSKA,90
KAŁMUCZAK,90
KAPŁANEK,90
KARASZ,90
KARCZEMNA,90
KARDASZEWSKA,90
KARKUSIEWICZ,90
KAROLKOWSKA,90
KARST,90
KENDZIORA,90
KĘPNIAK,90
KICZKAJŁO,90
KIERC,90
KIERLIK,90
KILIJAN,90
KISIO,90
KLAJNA,90
KLEKOCKA,90
KLEWICZ,90
KLUJEWSKA,90
KŁOBUCHOWSKA,90
KNOBLAUCH,90
KNYSZEWSKA,90
KOCISZ,90
KOCZOŃ,90
KODZIK,90
KOJTEK,90
KOKOSZCZYK,90
KOLBE,90
KOŁASKA,90
KONDOŁ,90
KOPIJKA,90
KOPTOŃ,90
KORDAŚ,90
KOSARZYCKA,90
KOZACZEWSKA,90
KRYDA,90
KRYPCIAK,90
KRYSZEŃ,90
KRYZIŃSKA,90
KSOŃ,90
KUCHALSKA,90
KULMAN,90
KURKO,90
KUSZNIR,90
KWIATECKA,90
LACHIEWICZ,90
LAGA,90
LAMECKA,90
LIBROWSKA,90
LICHOMSKA,90
ŁĘCZEK,90
ŁĘGOWIAK,90
ŁUCZYWO,90
MACHACZ,90
MAJORKOWSKA,90
MAKARCHUK,90
MAŁAŃCZUK,90
MAŁASIŃSKA,90
MAŁOWIEJSKA,90
MAMEŁA,90
MANIAS,90
MARCJANEK,90
MASIULANIEC,90
MAŚLAKIEWICZ,90
MAŻUL,90
MELAK,90
MIELESZKIEWICZ,90
MIEZIANKO,90
MIKOCIAK,90
MODERACKA,90
MOLESZTAK,90
MOLIS,90
MORAWCZYŃSKA,90
MORRIS,90
MOŚCIPAN,90
MOŹDZIERSKA,90
MOŹDZIOCH,90
MŚCIWUJEWSKA,90
MUSIAŁCZYK,90
NEĆ,90
NICIARZ,90
NICZEWSKA,90
NIEMCEWICZ,90
NIETOPIEL,90
NORWA,90
OBRATAŃSKA,90
OKLEJA,90
OLECHNICKA,90
ONYŚK,90
OPIELEWICZ,90
OPORA,90
OTOLSKA,90
OWSIEJCZUK,90
OZIEMBŁO,90
PABIJANEK,90
PALECKA,90
PANTKOWSKA,90
PARASZCZUK,90
PARKOŁA,90
PATERNOGA,90
PAUDYNA,90
PAZOWSKA,90
PEPLAK,90
PETNIAK,90
PETROW,90
PĘGOWSKA,90
PIEŁKA,90
PIERKO,90
PIESZCZOCH,90
PILACIŃSKA,90
PIRAS,90
PIROŻEK,90
PLASOTA,90
PŁAZAK,90
PŁOCIENIAK,90
PODRUCZNA,90
POLETYŁO,90
PORĘBIŃSKA,90
POSIECZEK,90
POTAPENKO,90
POZIOMEK,90
PRYPUTNIEWICZ,90
PRYSZCZEWSKA,90
PRZASNYSKA,90
PSTROKOŃSKA,90
PUTAJ,90
RADNIECKA,90
RADOŻYCKA,90
RĄBKOWSKA,90
RETEL,90
RUBEL,90
RUSZ,90
RYTA,90
SAMCIK,90
SAWIKOWSKA,90
SCISŁOWSKA,90
SERDECZNA,90
SIEMBOR,90
SIEMIENIK,90
SKÓBEL,90
SKURATKO,90
SOŁDACZUK,90
SOŁDYŃSKA,90
SOŃSKA,90
SPAŁKA,90
STAFIN,90
STARCZAK,90
STASIEROWSKA,90
STIELER,90
STRASBURGER,90
STRZYMIŃSKA,90
STURMOWSKA,90
SUSŁOWICZ,90
SWORNOWSKA,90
SZAJNOGA,90
SZALSKA,90
SZCZUDLAK,90
ŚWIĄTEK-BRZEZIŃSKA,90
ŚWIEŚCIAK,90
TADEJA,90
TARAMAS,90
TELUK,90
TEREBUN,90
TLATLIK,90
TOMIK,90
TOPCZYŃSKA,90
TRALA,90
TRAŁKA,90
TWARUŻEK,90
URYNIUK,90
UŚCIŁOWICZ,90
VOITENKO,90
WACHOLC,90
WADZIŃSKA,90
WALANKIEWICZ,90
WALCZYBOK,90
WANSEL,90
WAWROSZ,90
WERTELECKA,90
WIDŹGOWSKA,90
WINNA,90
WITOSZYŃSKA,90
WIZOR,90
WLAZIK,90
WOJDAŁOWICZ,90
WOLARCZYK,90
WÓJCISZYN,90
WRZOCHOL,90
WUDZIŃSKA,90
WYCIECHOWSKA,90
WYWIGACZ,90
YASINSKA,90
ZEBRZOWSKA,90
ZENDER,90
ZGODZAJ,90
ZIELONACKA,90
ZIENTALSKA,90
ZIMMERMAN,90
ZORN,90
ŻEMŁO,90
ŻUKIEL,90
ABBAS,89
ARKUSZYŃSKA,89
BACHUR,89
BAJDOR,89
BARAŚ,89
BAWER,89
BEGGER,89
BEIM,89
BET,89
BIEŁAGA,89
BIENIAWSKA,89
BIJOŚ,89
BLIMEL,89
BŁACHEWICZ,89
BONDAREWICZ,89
BORWIK,89
BÜTTNER,89
BYDAŁEK,89
BYDOŁEK,89
BYRKA,89
CERBA,89
CHAJDUGA,89
CHMURZEWSKA,89
CHORZEMPA,89
CIEĆWIERSKA,89
CIELEPA,89
CIELICKA,89
CIEPAŁOWICZ,89
CIRKO,89
CZABANOWSKA,89
CZAPLIK,89
DALBIAK,89
DAMĘTKA,89
DARUK,89
DEMBECKA,89
DĘBOWIEC,89
DOBIEGAŁA,89
DRABINIOK,89
DRAGANIK,89
DYWICKA,89
DZIEDZIOCH,89
DZIESIŃSKA,89
DZIKLIŃSKA,89
DZIOBIAK,89
FEDDE,89
FEIST,89
FINSTER,89
FRYŚNA,89
GARZEŁ,89
GAWRECKA,89
GAZUREK,89
GELDNER,89
GIELAR,89
GIENIECZKO,89
GNATOWICZ,89
GOLEMBKA,89
GOLEMIEC,89
GONTARCZUK,89
GÓLSKA,89
GROBARCZYK,89
GUENTHER,89
GUSZCZYŃSKA,89
GUTOWICZ,89
HALEC,89
HALKA,89
HAŁAŚ,89
HEŁDAK,89
HEYDA,89
HOLI,89
HYŻAK,89
JONASZEK,89
JUŃCZYK,89
JURASZEWSKA,89
JUŚKOWIAK,89
KACZMARYK,89
KALWARCZYK,89
KAŁASA,89
KANIASTA,89
KARULAK,89
KARULSKA,89
KARWATOWSKA,89
KATZ,89
KAZAN,89
KAZIKOWSKA,89
KĄTNIAK,89
KHARCHUK,89
KIECAK,89
KIEŁBAS,89
KLAPUCH,89
KLUF,89
KNYBA,89
KOCZĄB,89
KOĆMIEROWSKA,89
KOLEKTA,89
KOPIEĆ,89
KORPIKIEWICZ,89
KORYZMA,89
KORZEP,89
KOSZACKA,89
KOTLESZKA,89
KOTLIK,89
KOTNAROWSKA,89
KOZIOR,89
KRAŚNA,89
KRUPIARZ,89
KRUSZYNIAK,89
KUBACIK,89
KUFLIK,89
KUHNERT,89
KULESZEWICZ,89
KUNISZEWSKA,89
KUSZPA,89
KUTERMAK,89
KUZKO,89
KWAPULIŃSKA,89
KWIDZYŃSKA,89
LEONIEC,89
LITERA,89
LITWORA,89
LUZIŃSKA,89
LWOWSKA,89
ŁADYŻYŃSKA,89
ŁBIK,89
ŁOWIEC,89
ŁOŻAŃSKA,89
ŁUKUĆ,89
MANIOWSKA,89
MARCHWICA,89
MARKOT,89
MARULEWSKA,89
MARUSHCHAK,89
MAŚCIANICA,89
MATONIA,89
MATYJAŚKIEWICZ,89
MAZIERSKA,89
MAZIEWSKA,89
MIANECKA,89
MICHACZ,89
MICHNIKOWSKA,89
MIEDZIK,89
MIŃCZUK,89
MISALA,89
MISIELAK,89
MKRTCHYAN,89
MOCAŁA,89
MOCZYDLAK,89
MODLIBORSKA,89
MORKIS,89
MOROZOW,89
MOSER,89
MREŁA,89
MULIŃSKA,89
MULKOWSKA,89
NAZIĘBŁO,89
NIERWIŃSKA,89
NIESPOR,89
NIKIFORUK,89
NIKITIN,89
NIKOLIN,89
OBERLE,89
ODBIERZYCHLEB,89
OKRZOS,89
OPERCHALSKA,89
ORSZULSKA,89
OSADCHUK,89
OSZCZUDŁOWSKA,89
OTOWSKA,89
PAGÓRSKA,89
PAKASZEWSKA,89
PASTUSZYŃSKA,89
PAWELCZUK,89
PEJS,89
PERDOCH,89
PERKUSZEWSKA,89
PETERWAS,89
PETRYSHYN,89
PĘDZIWILK,89
PIASKOWA,89
PIKALA,89
PŁANDOWSKA,89
PŁUZIŃSKA,89
POMIANKIEWICZ,89
PONISZ,89
POSUNIAK,89
POTACKA,89
PRANICA,89
PRYWER,89
PRZESTACKA,89
PRZYSIĘŻNIAK,89
PSICA,89
PSYKAŁA,89
PŚCIUK,89
PUPIN,89
RAGINIA,89
RAJTOR,89
REBELKA,89
REFORMAT,89
REKTOR,89
REPELEWICZ,89
REPETA,89
ROCZYŃSKA,89
ROGASKA,89
ROMANOVSKA,89
ROSIKIEWICZ,89
ROSMANOWSKA,89
RUDYŃSKA,89
RUSA,89
RUSIAK,89
RUSU,89
RYDZA,89
SANCEWICZ,89
SANDELEWSKA,89
SARLIŃSKA,89
SCHAUER,89
SEMPOWICZ,89
SERAFINIAK,89
SHAH,89
SIEWKOWSKA,89
SIUDYKA,89
SKRAJDA,89
SKRZECZEK,89
SKUBERA,89
SŁAWIANOWSKA,89
SŁOCIAK,89
SŁOWEK,89
SMOLICH,89
SNAKOWSKA,89
SODKIEWICZ,89
SOWIJAK,89
STAISZ,89
STANDIO,89
STANOSEK,89
STEMPA,89
STER,89
STRAHL,89
STRYJNIAK,89
STRZYŻOWSKA,89
STUCHŁY,89
SUBSAR,89
SURMACEWICZ,89
SYGUTOWSKA,89
SZALC,89
SZAŁAJSKA,89
SZARAŃSKA,89
SZELEWSKA,89
SZPANOWSKA,89
SZTANKOWSKA,89
SZUK,89
SZWEBLIK,89
ŚLIMOK,89
ŚLISZ,89
ŚWIERKULA,89
ŚWIESIULSKA,89
ŚWIĘTANOWSKA,89
TAM,89
TAUROGIŃSKA,89
TERECHOWICZ,89
TĘGA,89
TKACHOVA,89
TOMASIKIEWICZ,89
TOMTAS,89
TRĄBA,89
TREJTOWICZ,89
TURŁO,89
TYMOSZ,89
VORONA,89
WACHTARCZYK,89
WALISZKO,89
WAŁĘCKA,89
WARDENCKA,89
WEJDA,89
WIECHUŁA,89
WIKOWSKA,89
WILCZKOWIAK,89
WILDA,89
WILGOSIEWICZ,89
WITON,89
WITOR,89
WOJCIACZYK,89
WOJCIULEWICZ,89
WRUTNIAK,89
WUTTKE,89
WYRWISZ,89
ZADYLAK,89
ZAIK,89
ZAPOLNA,89
ZELCER,89
ZINKEL,89
ŻUPA,89
ADAMUSIŃSKA,88
AJDUKIEWICZ,88
ALTER,88
ANASTAZIAK,88
ANDRUKAJTIS,88
ANHALT,88
ANUSZCZYK,88
ARABAS,88
BAZANOWSKA,88
BEKACZ,88
BENDIK,88
BIENIADA,88
BIJAS,88
BINIARZ,88
BLADOCHA,88
BŁAŻYKOWSKA,88
BOCHOWICZ,88
BOJARUNIEC,88
BOLT,88
BOMSKA,88
BRASZKO,88
BRUN,88
BRUST,88
BRYLA,88
BRZUSZCZYŃSKA,88
BUCHHOLC,88
BUKARTYK,88
BURDYNA,88
BURSZTYKA,88
CAPŁAP,88
CELEDA,88
CEMBROWICZ,88
CEPEK,88
CHARYŁO,88
CHICHŁOWSKA,88
CHŁODZIŃSKA,88
CHODYŁA,88
CHORĄŻA,88
CIENKUS,88
CIULAK,88
CIURLIK,88
CYPRYAŃSKA,88
CZEMPLIK,88
CZUCZMAN,88
DAJDA,88
DALASIŃSKA,88
DAWCZYŃSKA,88
DĄBRZALSKA,88
DELESKA,88
DEMBOWA,88
DEOROCKA,88
DERLICKA,88
DEYK,88
DOBRUSZEK,88
DRAJEWICZ,88
DRAŻYK,88
DRYZEK,88
DUPLA,88
DZIĄĆKO,88
DZIĘGLEWICZ,88
DZIOŁAK,88
FABCZAK,88
FAJTO,88
FARBISZ,88
FRANCKOWSKA,88
FREJNO,88
FROŁOW,88
GAGACKA,88
GALUSIŃSKA,88
GANKIEWICZ,88
GARLAK,88
GIEGLIS,88
GIEREJKO,88
GIERNATOWSKA,88
GIESEK,88
GLAJCAR,88
GŁUCHOWICZ,88
GŁUSZCZUK,88
GOŁDYKA,88
GOŁEMBSKA,88
GORĄCZKOWSKA,88
GOSPODAROWICZ,88
GÓRNI,88
GRILL,88
GROMKOWSKA,88
GRUDZIĄDZ,88
GRYGAS,88
GRYGUTIS,88
GRZELIK,88
GRZESZCZYSZYN,88
GUBERSKA,88
GUDAJCZYK,88
GURBOWICZ,88
GURCZYŃSKA,88
GUROŚ,88
GUTKA,88
HAMADYK,88
HARAJ,88
HE,88
HEJMOWSKA,88
HOLWEK,88
HOPCIA,88
HUZAREK,88
HYTRA,88
IKWANTY,88
JAEGER,88
JAMROZEK,88
JELAK,88
JĘDRUSZEWSKA,88
JOACHIM,88
JOCHACY,88
KADYLAK,88
KALAMON,88
KAMASZ,88
KAROS,88
KASZEWIAK,88
KAWCZYK,88
KAZAKOVA,88
KAZISZYN,88
KIELAŃSKA,88
KIEPUSZEWSKA,88
KLEMIŃSKA,88
KLUWAK,88
KŁOSAK,88
KNYŻEWSKA,88
KOCYAN,88
KOPCEWICZ,88
KORGEL,88
KOROTUSZ,88
KOWAŃDY,88
KOZINOGA,88
KRAŚNIK,88
KRĄŻAŁA,88
KROGUL,88
KRUGŁY,88
KRZYMIANOWSKA,88
KRZYWAK,88
KULESZYŃSKA,88
KULINICZ,88
KUNISZ,88
KURACZYK,88
KURYGA,88
KURYLO,88
KUSIDŁO,88
KUŹBICKA,88
KWIKA,88
LABIJAK,88
LAJS,88
LAMKIEWICZ,88
LASKOWSKI,88
LATOSI,88
LEBEDIEVA,88
LEKA,88
LENICKA,88
LEPCZYK,88
LISZCZYK,88
LIWARSKA,88
LUBOIŃSKA,88
LUTOWICZ,88
ŁASA,88
ŁOGIN,88
ŁOSIEWSKA,88
MACANDER,88
MAKOWSKI,88
MALUTY,88
MAŁACHA,88
MAMCZAREK,88
MAREKWIA,88
MARGRAF,88
MATJAS,88
MATLACHOWSKA,88
MATYSKIEL,88
MĄDRZYCKA,88
MELAŃCZUK,88
MESZEK,88
MIANOWICZ,88
MIELESZCZUK,88
MIKLAR,88
MIKLUSIAK,88
MINICHOWSKA,88
MIODUCKA,88
MOKROSIŃSKA,88
MOKSA,88
MORAJKA,88
